overall_rank,position_rank,player,position,team,games_played,avg_fantasy_pts,base_value,replacement_value,vor
603,128,Roschon Johnson,RB,CHI,6,0.28,0.0533,6.7193,-6.666
604,129,Amar Johnson,RB,LAC,1,0.8,0.0471,6.7193,-6.6722
605,130,Dylan Laube,RB,LV,17,0.13,0.0428,6.7193,-6.6765
606,131,Patrick Ricard,RB,BAL,5,0.32,0.0378,6.7193,-6.6815
607,132,Myles Gaskin,RB,SEA,1,0.6,0.0353,6.7193,-6.684
608,133,Clyde Edwards-Helaire,RB,KC,2,1.6,0.0327,6.7193,-6.6866
609,134,Jacob Saylors,RB,DET,11,0.1,0.0315,6.7193,-6.6878
610,135,DeeJay Dallas,RB,JAX,5,0.42,0.0296,6.7193,-6.6897
611,136,Kalel Mullings,RB,TEN,4,0.17,0.0206,6.7193,-6.6987
612,137,Kendall Milton,RB,CIN,1,0.2,0.0118,6.7193,-6.7075
613,138,Sione Vaki,RB,DET,8,0.05,0.0094,6.7193,-6.7099
614,139,Craig Reynolds,RB,DET,5,0.08,0.0056,6.7193,-6.7137
615,237,LaJohntay Wester,WR,BAL,14,-0.14,-0.1711,6.5469,-6.718
616,140,Avery Williams,RB,NYJ,1,0.0,0.0,6.7193,-6.7193
617,141,Brady Russell,RB,SEA,10,0.0,0.0,6.7193,-6.7193
618,142,Chase Edmonds,RB,WAS,3,0.0,0.0,6.7193,-6.7193
619,143,Elijah Mitchell,RB,KC,1,0.0,0.0,6.7193,-6.7193
620,144,Eric Gray,RB,NYG,1,0.0,0.0,6.7193,-6.7193
621,145,Gary Brightwell,RB,CIN,2,0.0,0.0,6.7193,-6.7193
622,146,Isaac Guerendo,RB,SF,7,0.0,0.0,6.7193,-6.7193
623,147,Jakob Johnson,RB,HOU,2,0.0,0.0,6.7193,-6.7193
624,148,Jordan Mims,RB,TEN,1,0.0,0.0,6.7193,-6.7193
625,149,Lew Nichols III,RB,PIT,1,0.0,0.0,6.7193,-6.7193
626,150,Robbie Ouzts,RB,SEA,4,0.0,0.0,6.7193,-6.7193
627,151,Trey Sermon,RB,PIT,3,0.0,0.0,6.7193,-6.7193
628,152,Ulysses Bentley IV,RB,IND,1,0.0,0.0,6.7193,-6.7193
629,238,Jamal Agnew,WR,ATL,11,-0.18,-0.1779,6.5469,-6.7248
630,153,Owen Wright,RB,TB,2,0.3,-0.0071,6.7193,-6.7264
631,154,Josh Williams,RB,TB,2,0.55,-0.0131,6.7193,-6.7324
632,155,Travis Homer,RB,CHI,8,-0.03,-0.0188,6.7193,-6.7381
633,156,Nyheim Hines,RB,NO,4,-0.05,-0.0218,6.7193,-6.7411
634,239,Xavier Gipson,WR,PHI,6,-0.4,-0.2424,6.5469,-6.7893
635,240,Mecole Hardman,WR,BUF,2,-1.0,-0.2591,6.5469,-6.806
636,31,Mac Jones,QB,SF,11,12.37,7.0596,13.8743,-6.8147
637,157,Brittain Brown,RB,CHI,2,4.85,-0.1153,6.7193,-6.8346
638,32,Marcus Mariota,QB,WAS,10,13.25,6.9808,13.8743,-6.8935
639,41,Lucas Havrisik,K,GB,3,6.67,0.5106,7.4111,-6.9005
640,241,Myles Price,WR,MIN,16,-0.38,-0.4336,6.5469,-6.9805
641,42,Jude McAtamney,K,NYG,4,3.0,0.4115,7.4111,-6.9996
642,33,Michael Penix Jr.,QB,ATL,9,13.7,6.5431,13.8743,-7.3312
643,34,Jayden Daniels,QB,WAS,7,16.75,6.2852,13.8743,-7.5891
644,35,Kirk Cousins,QB,ATL,10,10.85,5.5864,13.8743,-8.2879
645,36,Spencer Rattler,QB,NO,9,11.52,5.4579,13.8743,-8.4164
646,37,Shedeur Sanders,QB,CLE,8,11.86,4.5981,13.8743,-9.2762
647,38,Kyler Murray,QB,ARI,5,16.16,4.5586,13.8743,-9.3157
648,39,Carson Wentz,QB,MIN,5,15.07,3.9094,13.8743,-9.9649
649,40,Dillon Gabriel,QB,CLE,10,7.21,3.5176,13.8743,-10.3567
650,41,Davis Mills,QB,HOU,6,11.6,3.0546,13.8743,-10.8197
651,42,Tyrod Taylor,QB,NYJ,6,10.74,2.955,13.8743,-10.9193
652,43,Jake Browning,QB,CIN,5,11.35,2.3781,13.8743,-11.4962
653,44,Russell Wilson,QB,NYG,6,8.81,1.9271,13.8743,-11.9472
654,45,Brady Cook,QB,NYJ,5,7.09,1.7564,13.8743,-12.1179
655,46,Malik Willis,QB,GB,4,12.79,1.6586,13.8743,-12.2157
656,47,Tyler Huntley,QB,BAL,5,8.03,1.6303,13.8743,-12.244
657,48,Quinn Ewers,QB,MIA,4,8.92,1.5606,13.8743,-12.3137
658,49,Philip Rivers,QB,IND,3,11.55,1.4715,13.8743,-12.4028
659,50,Jameis Winston,QB,NYG,3,14.93,0.9781,13.8743,-12.8962
660,51,Riley Leonard,QB,IND,5,6.4,0.8943,13.8743,-12.98
661,52,Josh Johnson,QB,WAS,3,8.79,0.7507,13.8743,-13.1236
662,53,Mason Rudolph,QB,PIT,5,3.4,0.5076,13.8743,-13.3667
663,54,Trey Lance,QB,LAC,4,3.63,0.4653,13.8743,-13.409
664,55,Mitchell Trubisky,QB,BUF,4,7.78,0.425,13.8743,-13.4493
665,56,Max Brosmer,QB,MIN,7,1.17,0.3587,13.8743,-13.5156
666,57,Joe Milton III,QB,DAL,4,3.08,0.3513,13.8743,-13.523
667,58,Andy Dalton,QB,CAR,4,2.63,0.3509,13.8743,-13.5234
668,59,Aidan O'Connell,QB,LV,1,4.78,0.2812,13.8743,-13.5931
669,60,Tanner McKee,QB,PHI,4,3.69,0.2411,13.8743,-13.6332
670,61,Shane Buechele,QB,KC,1,3.92,0.2306,13.8743,-13.6437
671,62,Kenny Pickett,QB,LV,6,1.62,0.2126,13.8743,-13.6617
672,63,Chris Oladokun,QB,KC,3,3.73,0.1723,13.8743,-13.702
673,64,Cooper Rush,QB,BAL,4,1.43,0.1233,13.8743,-13.751
674,65,Brandon Allen,QB,TEN,1,1.88,0.1106,13.8743,-13.7637
675,66,Tyson Bagent,QB,CHI,2,1.29,0.0825,13.8743,-13.7918
676,67,Joshua Dobbs,QB,NE,4,0.53,0.0637,13.8743,-13.8106
677,68,Brett Rypien,QB,CIN,1,0.0,0.0,13.8743,-13.8743
678,69,Zach Wilson,QB,MIA,4,0.35,-0.0017,13.8743,-13.876
679,70,Adrian Martinez,QB,SF,1,-0.1,-0.0059,13.8743,-13.8802
680,71,Jarrett Stidham,QB,DEN,1,-0.1,-0.0059,13.8743,-13.8802
681,72,Kedon Slovis,QB,ARI,2,-0.04,-0.0104,13.8743,-13.8847
682,73,Teddy Bridgewater,QB,TB,3,0.96,-0.0142,13.8743,-13.8885
683,74,Kyle Allen,QB,DET,2,-0.15,-0.0247,13.8743,-13.899
684,75,Anthony Richardson,QB,IND,2,0.83,-0.0339,13.8743,-13.9082
685,76,Nick Mullens,QB,JAX,4,-0.01,-0.0352,13.8743,-13.9095
686,77,Drew Lock,QB,SEA,3,0.03,-0.0392,13.8743,-13.9135
687,78,Gardner Minshew,QB,KC,4,0.17,-0.0424,13.8743,-13.9167
688,79,Jimmy Garoppolo,QB,LA,3,-0.33,-0.0646,13.8743,-13.9389
689,80,Clayton Tune,QB,GB,2,1.49,-0.1316,13.8743,-14.0059
690,81,Jalen Milroe,QB,SEA,3,-0.53,-0.2215,13.8743,-14.0958
