predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
1,Justin Jefferson,WR,7.8969,168.2,82
2,Austin Ekeler,RB,7.4922,159.9,95
3,Josh Allen,QB,7.4849,410.64,1
4,Patrick Mahomes,QB,7.1951,294.22,11
5,Tyreek Hill,WR,6.4431,316.9,8
6,Josh Jacobs,RB,6.3794,162.6,91
7,Davante Adams,WR,6.3344,213.9,40
8,Jalen Hurts,QB,6.186,371.82,2
9,Travis Kelce,TE,6.1269,172.9,78
10,Derrick Henry,RB,5.3567,232.66,34
11,Ja'Marr Chase,WR,5.2257,212.72,42
12,Stefon Diggs,WR,5.2066,220.3,37
13,CeeDee Lamb,WR,5.1242,335.7,6
14,A.J. Brown,WR,4.6272,236.6,31
15,Joe Burrow,QB,4.6158,153.16,101
16,Nick Chubb,RB,4.522,21.1,425
17,Najee Harris,RB,4.4106,181.0,68
18,Cooper Kupp,WR,4.2715,134.9,135
19,Christian McCaffrey,RB,4.216,357.8,3
20,Amon-Ra St. Brown,WR,4.0098,271.4,17
21,DeVonta Smith,WR,3.9272,187.1,61
22,Jaylen Waddle,WR,3.8474,162.6,92
23,Tony Pollard,RB,3.7427,195.1,52
24,Joe Mixon,RB,3.4378,241.0,26
25,Aaron Jones,RB,3.3264,119.9,162
26,Justin Herbert,QB,3.283,240.66,27
27,Saquon Barkley,RB,3.2172,202.7,47
28,Amari Cooper,WR,2.8347,191.0,56
29,Mike Evans,WR,2.8207,243.0,25
30,Terry McLaurin,WR,2.8016,163.7,88
31,George Kittle,TE,2.7908,170.7,81
32,DK Metcalf,WR,2.7643,192.4,53
33,NE D/ST,DEF,2.7391,104.0,191
34,James Conner,RB,2.7168,188.0,59
35,Jonathan Taylor,RB,2.7128,146.9,115
36,Tee Higgins,WR,2.691,116.6,168
37,Tom Brady,QB,2.6863,,
38,Tyler Lockett,WR,2.6715,162.9,90
39,Rhamondre Stevenson,RB,2.6418,126.7,151
40,Kirk Cousins,QB,2.5668,154.74,99
41,Mark Andrews,TE,2.4997,112.9,177
42,Christian Kirk,WR,2.4732,121.76,160
43,Justin Fields,QB,2.3572,239.18,28
44,T.J. Hockenson,TE,2.3282,171.5,79
45,Dalvin Cook,RB,2.2726,32.7,360
46,DAL D/ST,DEF,2.2169,177.0,74
