predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
1,Ja'Marr Chase,WR,9.2379,251.1,24
2,Jahmyr Gibbs,RB,8.9623,328.4,8
3,Bijan Robinson,RB,7.7741,331.3,7
4,Saquon Barkley,RB,7.5965,213.8,42
5,Josh Allen,QB,7.302,374.62,1
6,Derrick Henry,RB,6.541,272.0,21
7,Lamar Jackson,QB,6.4605,221.86,37
8,Amon-Ra St. Brown,WR,6.2032,265.5,22
9,De'Von Achane,RB,5.7796,289.3,18
10,Josh Jacobs,RB,5.3383,219.1,38
11,Justin Jefferson,WR,5.2871,159.5,84
12,CeeDee Lamb,WR,4.9616,163.4,78
13,Kyren Williams,RB,4.5435,245.3,29
14,Brock Bowers,TE,4.4961,144.2,106
15,James Cook,RB,4.4872,285.7,19
16,Jalen Hurts,QB,4.2442,305.06,14
17,Trey McBride,TE,4.1461,252.9,23
18,George Kittle,TE,4.075,133.0,132
19,Brian Thomas Jr.,WR,3.9866,114.8,163
20,Puka Nacua,WR,3.8955,310.5,12
21,Bucky Irving,RB,3.836,123.5,148
22,Drake London,WR,3.8038,167.9,72
23,Joe Burrow,QB,3.7837,139.46,116
24,Jared Goff,QB,3.6878,305.06,13
25,Chase Brown,RB,3.6727,248.1,26
26,Baker Mayfield,QB,3.6563,282.92,20
27,Sam LaPorta,TE,3.5801,86.9,221
28,Terry McLaurin,WR,3.5174,95.2,200
29,A.J. Brown,WR,3.476,181.3,62
30,Mike Evans,WR,3.4581,69.8,264
31,James Conner,RB,3.4367,29.3,385
32,Tyreek Hill,WR,3.4304,43.0,342
33,Jordan Addison,WR,3.3938,114.1,164
34,Jonathan Taylor,RB,3.3122,339.3,6
35,Davante Adams,WR,3.2879,192.9,49
36,DJ Moore,WR,3.2198,145.18,103
37,Jonnu Smith,TE,3.17,66.2,274
38,Breece Hall,RB,3.1634,189.66,53
39,Malik Nabers,WR,3.1075,48.1,324
40,Chuba Hubbard,RB,3.0789,110.4,168
41,Joe Mixon,RB,2.9782,,
42,Jerry Jeudy,WR,2.9738,95.7,199
43,Brandon Aubrey,K,2.9442,180.0,63
44,Alvin Kamara,RB,2.9102,84.2,226
45,Jaxon Smith-Njigba,WR,2.8812,300.4,15
46,David Montgomery,RB,2.7236,154.92,93
47,Jayden Daniels,QB,2.6663,117.28,157
48,Courtland Sutton,WR,2.6363,182.7,59
49,Ladd McConkey,WR,2.5865,147.9,99
50,Garrett Wilson,WR,2.3723,81.5,233
51,Mark Andrews,TE,2.3184,107.0,180
52,DeVonta Smith,WR,2.3122,163.3,79
53,Patrick Mahomes,QB,2.2974,296.18,17
54,Travis Kelce,TE,2.2954,155.2,91
55,Tee Higgins,WR,2.2676,182.1,60
56,Nico Collins,WR,2.2564,190.7,51
57,Cameron Dicker,K,2.0859,166.0,75
58,DEN D/ST,DEF,2.0819,143.0,109
59,Rachaad White,RB,2.0784,123.0,150
60,Jakobi Meyers,WR,2.0033,138.3,117
61,Aaron Jones,RB,1.9268,104.7,185
62,Najee Harris,RB,1.8923,10.1,496
63,D'Andre Swift,RB,1.8097,211.6,43
64,Justin Herbert,QB,1.7812,299.88,16
65,Brock Purdy,QB,1.7769,187.38,56
66,Ashton Jeanty,RB,1.7619,217.6,40
67,Zay Flowers,WR,1.6688,200.3,44
68,Tony Pollard,RB,1.563,169.3,71
69,Jayden Reed,WR,1.4891,39.0,354
70,Jameson Williams,WR,1.4684,187.4,55
71,Calvin Ridley,WR,1.4225,38.8,355
72,Kenneth Walker III,RB,1.2961,176.4,64
73,GB D/ST,DEF,1.2937,79.0,239
74,DAL D/ST,DEF,1.2716,57.0,291
75,Chris Boswell,K,1.2606,145.0,104
76,BAL D/ST,DEF,1.257,94.0,205
77,Bo Nix,QB,1.2559,315.84,11
78,David Njoku,TE,1.2425,69.8,265
79,Keenan Allen,WR,1.2098,142.2,111
