predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
131,Brandon McManus,K,-0.0511,98.0,208
132,Cameron Dicker,K,-0.0847,173.0,80
133,Tyler Allgeier,RB,-0.1651,99.7,205
134,Gus Edwards,RB,-0.1841,62.6,287
135,Xavier Worthy,WR,-0.1941,157.7,99
136,Antonio Gibson,RB,-0.202,91.9,220
137,Gabe Davis,WR,-0.2174,43.9,336
138,Chuba Hubbard,RB,-0.2476,220.1,40
139,Cairo Santos,K,-0.2857,104.0,194
140,Jake Moody,K,-0.2976,107.0,184
141,Marvin Harrison Jr.,WR,-0.3226,165.5,87
142,Kyle Pitts,TE,-0.3581,107.7,180
143,Tyler Boyd,WR,-0.3816,58.8,294
144,Hunter Henry,TE,-0.443,112.4,166
145,Matthew Stafford,QB,-0.4471,222.58,37
146,PHI D/ST,DEF,-0.483,131.0,136
147,Joe Burrow,QB,-0.4933,381.82,3
148,GB D/ST,DEF,-0.4948,144.0,113
149,Baker Mayfield,QB,-0.4997,381.8,4
150,Tyler Higbee,TE,-0.5279,22.6,414
151,MIN D/ST,DEF,-0.534,161.0,93
152,Tyjae Spears,RB,-0.586,98.6,206
153,Jerome Ford,RB,-0.5883,115.5,160
154,Jerry Jeudy,WR,-0.6165,195.9,55
155,Dalvin Cook,RB,-0.6294,3.5,549
156,Marquise Brown,WR,-0.649,13.6,452
157,Josh Downs,WR,-0.6626,147.5,107
158,JAX D/ST,DEF,-0.6654,71.0,269
159,Chris Boswell,K,-0.6863,188.0,61
160,Darren Waller,TE,-0.693,,
161,NYG D/ST,DEF,-0.6941,89.0,232
162,Romeo Doubs,WR,-0.7072,109.1,176
163,Blake Corum,RB,-0.7358,30.0,373
164,HOU D/ST,DEF,-0.738,139.0,120
165,Wil Lutz,K,-0.7552,157.0,100
166,Javonte Williams,RB,-0.761,131.9,133
167,Kirk Cousins,QB,-0.7714,192.32,57
168,Nick Chubb,RB,-0.7924,60.8,291
169,DEN D/ST,DEF,-0.8119,179.0,70
170,Chase McLaughlin,K,-0.828,160.0,95
171,AJ Dillon,RB,-0.8503,,
172,Jaxon Smith-Njigba,WR,-0.854,203.0,49
173,Gerald Everett,TE,-0.8557,7.6,508
174,Anders Carlson,K,-0.8819,57.0,296
175,Matt Prater,K,-0.8914,33.0,361
176,LV D/ST,DEF,-0.9048,64.0,283
177,Greg Joseph,K,-0.9101,62.0,288
178,SEA D/ST,DEF,-0.9296,133.0,130
179,Tyler Conklin,TE,-0.9341,96.4,214
180,Curtis Samuel,WR,-0.9406,48.2,316
181,CIN D/ST,DEF,-0.9857,102.0,197
182,Miles Sanders,RB,-1.0179,65.3,279
183,Dustin Hopkins,K,-1.1011,72.0,265
184,Rashid Shaheed,WR,-1.148,69.8,271
185,TEN D/ST,DEF,-1.1487,63.0,286
186,Cade Otton,TE,-1.2753,111.1,168
187,Geno Smith,QB,-1.2782,281.0,18
188,Chig Okonkwo,TE,-1.283,87.6,235
189,Ka'imi Fairbairn,K,-1.2955,164.0,89
190,Pat Freiermuth,TE,-1.2974,135.8,125
191,LAC D/ST,DEF,-1.3431,124.0,145
192,LA D/ST,DEF,-1.3771,118.0,155
193,Zack Moss,RB,-1.3774,70.4,270
194,Darius Slayton,WR,-1.4261,90.5,225
195,Kareem Hunt,RB,-1.4437,143.9,114
196,Noah Fant,TE,-1.4473,80.0,251
197,Logan Thomas,TE,-1.4706,,
198,Eddy Pineiro,K,-1.5287,101.0,199
199,CHI D/ST,DEF,-1.6181,120.0,151
200,Isaiah Likely,TE,-1.6678,102.7,196
201,Jonnu Smith,TE,-1.6841,178.3,71
202,Jamaal Williams,RB,-1.695,32.6,363
203,Jayden Daniels,QB,-1.7448,364.82,5
204,Juwan Johnson,TE,-1.7662,97.8,209
205,Mike Gesicki,TE,-1.8202,109.0,177
206,Dawson Knox,TE,-1.8429,48.1,318
207,Joey Slye,K,-1.8455,112.0,167
208,Kyler Murray,QB,-1.889,308.24,15
209,Jahan Dotson,WR,-1.8912,32.4,364
210,K.J. Osborn,WR,-1.9507,15.2,443
211,Christian Watson,WR,-1.9845,90.8,224
212,DET D/ST,DEF,-2.0039,121.0,147
213,Zach Ertz,TE,-2.0428,144.4,112
214,Alexander Mattison,RB,-2.0537,119.4,153
215,ATL D/ST,DEF,-2.0575,94.0,217
216,Riley Patterson,K,-2.089,27.0,386
217,Dontayvion Wicks,WR,-2.1046,91.0,223
218,Dameon Pierce,RB,-2.1246,42.5,339
219,Latavius Murray,RB,-2.1793,,
220,Josh Palmer,WR,-2.1867,87.9,234
221,CAR D/ST,DEF,-2.1928,38.0,352
222,Elijah Moore,WR,-2.2863,90.4,227
223,ARI D/ST,DEF,-2.3224,109.0,178
224,Khalil Herbert,RB,-2.3614,26.5,393
225,Robert Woods,WR,-2.3771,28.3,382
226,WAS D/ST,DEF,-2.4162,90.0,228
227,Mike Williams,WR,-2.4255,46.3,327
228,Leonard Fournette,RB,-2.4307,,
229,Josh Reynolds,WR,-2.4322,31.9,365
230,Odell Beckham Jr.,WR,-2.4405,10.0,486
231,Michael Wilson,WR,-2.4583,101.0,200
232,Caleb Williams,QB,-2.4674,260.54,24
233,Jordan Love,QB,-2.4677,244.86,28
234,Brett Maher,K,-2.5095,,
235,Samaje Perine,RB,-2.527,67.4,275
236,Drake Maye,QB,-2.5883,187.14,62
237,Tucker Kraft,TE,-2.6078,138.3,121
238,Jerick McKinnon,RB,-2.6577,,
239,Austin Hooper,TE,-2.7051,86.1,240
240,Sam Howell,QB,-2.7174,0.16,620
241,Darnell Mooney,WR,-2.7241,161.2,92
242,Zach Charbonnet,RB,-2.7311,165.9,86
243,Kendrick Bourne,WR,-2.7434,51.1,311
244,Jaleel McLaughlin,RB,-2.784,85.2,243
245,DJ Chark,WR,-2.7871,11.1,477
246,Luke Musgrave,TE,-2.803,8.0,505
247,Graham Gano,K,-2.8086,48.0,320
248,Allen Lazard,WR,-2.8159,107.5,182
249,Michael Mayer,TE,-2.8611,26.1,397
250,DeMario Douglas,WR,-2.8863,114.7,162
251,Zay Jones,WR,-2.9236,12.4,464
252,Bo Nix,QB,-2.935,328.7,10
253,D'Onta Foreman,RB,-2.9731,29.6,376
254,Cordarrelle Patterson,RB,-2.9747,31.5,366
255,Alec Pierce,WR,-2.9877,142.9,117
256,Kenny Gainwell,RB,-3.0031,54.6,301
257,Michael Gallup,WR,-3.0042,,
258,Roschon Johnson,RB,-3.0158,69.4,272
259,Kalif Raymond,WR,-3.0428,48.0,321
260,Hayden Hurst,TE,-3.0697,11.3,473
261,Wan'Dale Robinson,WR,-3.1115,136.2,123
262,Noah Gray,TE,-3.1729,93.3,218
263,JuJu Smith-Schuster,WR,-3.181,44.1,333
264,Nelson Agholor,WR,-3.2218,42.1,341
265,Rondale Moore,WR,-3.247,,
266,Foster Moreau,TE,-3.2909,87.3,236
267,Trey Palmer,WR,-3.2977,29.2,377
268,Kylen Granson,TE,-3.3088,25.2,403
269,Donald Parham,TE,-3.3229,,
270,DeVante Parker,WR,-3.324,,
271,Quentin Johnston,WR,-3.3785,147.2,108
272,Clyde Edwards-Helaire,RB,-3.3843,8.5,500
273,Durham Smythe,TE,-3.3897,9.8,488
274,Jordan Akins,TE,-3.4428,71.0,268
275,Tommy Tremble,TE,-3.4535,44.9,332
276,Robert Tonyan,TE,-3.4585,,
277,Daniel Bellinger,TE,-3.4841,19.5,429
278,Chad Ryland,K,-3.4879,120.0,150
279,Michael Carter,RB,-3.5329,30.3,371
280,Mo Alie-Cox,TE,-3.5581,26.7,389
281,Demarcus Robinson,WR,-3.5765,108.0,179
282,Hunter Renfrow,WR,-3.5829,,
283,Will Dissly,TE,-3.5892,85.1,245
284,Adam Trautman,TE,-3.5916,37.3,353
285,Tanner Hudson,TE,-3.6439,29.0,378
286,Allen Robinson,WR,-3.6701,4.5,541
287,Colby Parkinson,TE,-3.671,50.4,313
288,Mason Crosby,K,-3.6824,,
289,Khalil Shakir,WR,-3.7033,144.5,111
290,Noah Brown,WR,-3.7125,68.8,274
291,Michael Thomas,WR,-3.7733,,
292,Jimmy Graham,TE,-3.7817,,
293,Tutu Atwell,WR,-3.8075,77.9,256
294,Jeff Wilson,RB,-3.8233,9.1,494
295,Marquez Valdes-Scantling,WR,-3.8256,75.0,260
296,Nick Westbrook-Ikhine,WR,-3.8455,119.7,152
297,Mike Badgley,K,-3.8781,,
298,Justice Hill,RB,-3.8847,106.1,186
299,Harrison Bryant,TE,-3.9147,13.1,458
300,Melvin Gordon,RB,-3.983,,
301,Michael Penix,QB,-3.9942,,
302,Jonathan Mingo,WR,-4.0037,23.7,411
303,Donovan Peoples-Jones,WR,-4.0309,,
304,Randy Bullock,K,-4.0355,,
305,Brevin Jordan,TE,-4.0431,1.7,575
306,Lucas Havrisik,K,-4.0797,,
307,C.J. Uzomah,TE,-4.1022,0.0,656
308,J.J. McCarthy,QB,-4.117,,
309,Marvin Jones,WR,-4.1176,,
310,Irv Smith,TE,-4.1288,,
311,Justin Watson,WR,-4.1652,51.9,307
312,Bryce Young,QB,-4.1865,204.02,46
313,Josh Oliver,TE,-4.2035,54.8,300
314,Cam Akers,RB,-4.2112,86.2,239
315,Chase Claypool,WR,-4.2412,,
316,Darrell Henderson,RB,-4.2425,,
317,Chris Moore,WR,-4.286,,
318,Tre Tucker,WR,-4.3188,105.8,189
319,Rashod Bateman,WR,-4.3287,152.1,104
320,Isaiah Hodgins,WR,-4.3302,2.2,568
321,Mack Hollins,WR,-4.3359,83.3,246
322,Brock Wright,TE,-4.3458,28.5,381
323,Damien Harris,RB,-4.3492,,
324,Keaton Mitchell,RB,-4.3538,6.3,517
325,Chase Edmonds,RB,-4.3731,,
326,Emari Demercado,RB,-4.3849,46.7,325
327,MyCole Pruitt,TE,-4.3881,13.0,459
328,Will Mallory,TE,-4.4107,4.9,537
329,Van Jefferson,WR,-4.4205,51.6,309
330,Andrew Ogletree,TE,-4.4722,21.4,419
331,Ty Chandler,RB,-4.4733,25.4,402
332,Marvin Mims Jr.,WR,-4.4976,110.0,171
333,James Robinson,RB,-4.4991,,
334,Elijah Higgins,TE,-4.5164,39.2,349
335,Drew Sample,TE,-4.5529,26.5,394
336,John Bates,TE,-4.5538,10.4,482
337,Cedrick Wilson Jr.,WR,-4.5575,39.94,348
338,Greg Dulcich,TE,-4.6179,5.3,531
339,Elijah Mitchell,RB,-4.6274,,
340,Pharaoh Brown,TE,-4.6463,8.5,499
341,Braxton Berrios,WR,-4.6559,0.0,622
342,Johnny Mundt,TE,-4.6994,35.7,357
343,Mecole Hardman,WR,-4.7068,27.2,385
344,Olamide Zaccheaus,WR,-4.7275,89.9,229
345,Greg Dortch,WR,-4.7426,71.8,266
346,Jauan Jennings,WR,-4.7442,172.0,82
347,Julio Jones,WR,-4.7677,,
348,Kenyan Drake,RB,-4.8229,,
349,A.T. Perry,WR,-4.8308,,
350,Luke Schoonmaker,TE,-4.8579,43.6,337
351,Rico Dowdle,RB,-4.8767,178.3,72
352,Geoff Swaim,TE,-4.8767,1.2,591
